Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,Question Number,Question Name,Area affected by climate change,Health-related risk and vulnerability assessment undertaken,Identify the climate hazards most significantly impacting the selected areas,Identify the climate-related health issues faced by your city,Timescale of climate-related issues for the selected health area,Please identify which vulnerable populations are affected by these climate-related impacts,Please explain
Cities 2021,859152,Hashimoto City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859153,Yonago City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859154,Hokuei Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,,,Heat-related illnesses,,,
Cities 2021,859155,Hiezu Village,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859156,Nanbu Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859157,Matsue City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859158,Izumo City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,,Extreme hot temperature > Heat wave,"Heat-related illnesses; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",,,
Cities 2021,859159,Oda City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859160,Setouchi City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859161,Akaiwa City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859162,Fukuyama City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859163,Mine City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859164,Sanyo-Onoda City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859165,Kan-onji City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859166,Tadotsu Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859167,Imabari City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859168,Saijo City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859169,Kuroshio Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859170,Ogori City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859171,Onojo City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859172,Asakura City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859173,Okagaki Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859174,Oki Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859175,Soeda Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859176,Aka Village,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859177,Takeo City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859178,Ureshino City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859180,Isahaya City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859181,Tamana City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859182,Uto City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859183,Kamiamakusa City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859184,Nagomi Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859185,Minamioguni Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859186,Reihoku Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859187,Saiki City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859188,Kirishima City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859189,Minamikyushu City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859190,Aira City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859191,Nakatane Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859192,Tokunoshima Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859193,China Town,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859194,Itoman City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859195,Nanjo City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859196,Yomitan Village,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859197,Iheya Village,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859252,Municipalidad de Machu Picchu,Peru,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,859253,Mora kommun,Sweden,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Extreme hot temperature > Heat wave,Heat-related illnesses,Medium-term (2026-2050),Elderly; Persons with disabilities; Persons with pre-existing medical conditions,
Cities 2021,859254,Uppvidinge kommun,Sweden,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health systems (service provision, infrastructure and technologies)",No,Storm and wind > Severe wind,Heat-related illnesses,Medium-term (2026-2050),Elderly; Marginalized groups; Persons with disabilities,"Jourenys to places where health care are offered will be longer as regional health care are decreasing or/and changing. Digital health care can not fully replace direct health care. An increasing amount of transport, for instance due to health care provided in urban area/region of Kronoberg, is a human climate impact in the rural municipality of Uppvidinge. Serious impact on the total population is therefore a risk to consider."
Cities 2021,860640,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),Mexico,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,861779,Järfälla kommun,Sweden,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Biological hazards > Vector-borne disease; Biological hazards > Water-borne disease; Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm,"Air-pollution related illnesses; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services; Heat-related illnesses; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Current,Children and youth; Elderly; Indigenous populations; Outdoor workers; Persons with disabilities; Persons with pre-existing medical conditions,
Cities 2021,861779,Järfälla kommun,Sweden,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Mass movement > Landslide,"Damage/destruction to health infrastructure and technology; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Disruption to water, sanitation and wastewater services; Overwhelming of health service provision due to increased demand",Current,Children and youth; Elderly; Indigenous populations,
Cities 2021,862419,Sumbawa Regency,Indonesia,Southeast Asia and Oceania,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",No,Flood and sea level rise > River flood,"Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services; Mental health impacts",,"Elderly; Indigenous populations; Low-income households; Marginalized groups; Other, please specify; Outdoor workers; Persons living in sub-standard housing; Unemployed persons",all people affected by these climate change-related impacts.
Cities 2021,862468,Borlänge kommun,Sweden,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,No,Biological hazards > Water-borne disease; Extreme hot temperature > Extreme hot days; Extreme Precipitation > Rain storm,"Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services; Heat-related illnesses; Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",,Elderly; Low-income households; Persons with pre-existing medical conditions,"The health outcomes are not thourough investigated for our city, the answers on this questions are drawn from general conclusions on regional or national level."
Cities 2021,862468,Borlänge kommun,Sweden,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment)",No,Extreme hot temperature > Extreme hot days; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > River flood; Water Scarcity > Drought,"Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services",,"Other, please specify: Do not know","The health outcomes are not thourough investigated for our city, the answers on this questions are drawn from general conclusions on regional or national level."
Cities 2021,862482,San Pedro Garza García,Mexico,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,862564,Lycksele kommun,Sweden,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,862573,"Regional District of Central Kootenay, BC",Canada,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",No,Biological hazards > Insect infestation; Chemical change > Atmospheric CO2 concentrations; Extreme cold temperature > Cold wave; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Flood and sea level rise > River flood; Storm and wind > Severe wind; Water Scarcity > Drought; Wild fire > Forest fire,"Air-pollution related illnesses; Direct physical injuries and deaths due to extreme weather events; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Food & Nutrition Security; Heat-related illnesses; Mental health impacts",Current,Children and youth; Elderly; Factory workers; Indigenous populations; Marginalized groups; Outdoor workers; Persons with disabilities; Women,"This season`s extreme heat days, smoke , wildfire, and drought are having significant impact on outdoor workers, agriculture, surface and ground water consumption, wildfire fighting abilities, mental health and tourism."
Cities 2021,862614,Municipio de Colima,Mexico,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,862659,Comune di Segrate,Italy,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,862673,"City of Selkirk, MB",Canada,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes",Yes,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Water Scarcity > Drought; Wild fire > Land fire,Direct physical injuries and deaths due to extreme weather events; Heat-related illnesses; Mental health impacts,,Elderly; Factory workers; Indigenous populations; Low-income households; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons,
Cities 2021,862705,Comodoro Rivadavia,Argentina,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,862950,Prefeitura de Rafard,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,862760,"City of Oxford, OH",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,862768,Vallentuna kommun,Sweden,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,No,Extreme hot temperature > Heat wave,Heat-related illnesses,Current,Elderly; Persons with pre-existing medical conditions,
Cities 2021,862814,"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)",Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme cold temperature > Cold wave; Extreme cold temperature > Extreme winter conditions; Extreme Precipitation > Heavy snow; Extreme Precipitation > Rain storm; Storm and wind > Cyclone (Hurricane / Typhoon); Storm and wind > Severe wind; Storm and wind > Storm surge; Storm and wind > Tropical storm; Water Scarcity > Drought,"Damage/destruction to health infrastructure and technology; Disruption to health service provision; Disruption to water, sanitation and wastewater services; Food & Nutrition Security; Lack of climate-informed surveillance, preparedness, early warning and response; Overwhelming of health service provision due to increased demand; Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Short-term (by 2025),Children and youth; Elderly; Indigenous populations; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women,"Damage infrastructure including building and road,  Electricity Supply affected with effect on services and technology,  disruption to services including hospital services, water shortages. Risk of flooding of vulnerable land uses e.g residential, hospitals, nursing homes, infrastructure includingwastewater treatment plants due to the siting of these developments in areas at risk.There was a significant impact of storm Ophelia on the vast majority of health and social care services in counties Carlow, Kilkenny, Waterford, and Wexford due to the adverse weather conditions on 16th October 2017."
Cities 2021,862924,"Leon Valley, TX",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,862945,Nueva Concepción,Guatemala,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Biological hazards > Air-borne disease; Biological hazards > Insect infestation; Biological hazards > Vector-borne disease; Biological hazards > Water-borne disease; Chemical change > Atmospheric CO2 concentrations; Chemical change > Ocean acidification; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Flood and sea level rise > Coastal flood; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > Groundwater flood; Flood and sea level rise > River flood; Storm and wind > Lightning / thunderstorm; Storm and wind > Severe wind; Storm and wind > Storm surge; Storm and wind > Tropical storm; Water Scarcity > Drought; Wild fire > Forest fire; Wild fire > Land fire,"Air-pollution related illnesses; Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Disruption to water, sanitation and wastewater services; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Food & Nutrition Security; Heat-related illnesses; Lack of climate-informed surveillance, preparedness, early warning and response; Mental health impacts; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Medium-term (2026-2050),Children and youth; Elderly; Factory workers; Indigenous populations; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women,"Todos los desastres naturales que afectan al municipio de Nueva Concepción en su mayoría se deben a el aumento en los caudales de los Ríos, los que ponen en riesgo la vida y salud de los habitantes."
Cities 2021,862945,Nueva Concepción,Guatemala,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme Precipitation > Rain storm; Storm and wind > Lightning / thunderstorm; Storm and wind > Severe wind; Storm and wind > Storm surge; Storm and wind > Tropical storm; Water Scarcity > Drought,"Air-pollution related illnesses; Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Disruption to water, sanitation and wastewater services; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Food & Nutrition Security; Lack of climate-informed surveillance, preparedness, early warning and response; Mental health impacts; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Medium-term (2026-2050),Children and youth; Elderly; Factory workers; Indigenous populations; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women,
Cities 2021,862946,Manta,Ecuador,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health systems (service provision, infrastructure and technologies)",No,Biological hazards > Vector-borne disease; Biological hazards > Water-borne disease; Chemical change > Salt water intrusion; Flood and sea level rise > Flash / surface flood; Mass movement > Landslide; Water Scarcity > Drought,"Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Disruption to water, sanitation and wastewater services; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Lack of climate-informed surveillance, preparedness, early warning and response; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Medium-term (2026-2050),Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions,"estos datos son de un análisis social por conocimiento de causa, no responden a un estudio especifico del tema."
Cities 2021,862956,Inashiki City,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
